Source: (1.00, 1.00, -14.00), Receiver: (4.00, 1.00, -11.00), Reflection: 0, Hit: (1.05, 0.00, -12.38), Time: 0.0055s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (4.00, 1.00, -11.00), Reflection: 1, Hit: (4.95, 0.71, -10.44), Time: 0.0184s, Energy: 0.03
Source: (1.00, 1.00, -14.00), Receiver: (4.00, 1.00, -11.00), Reflection: 0, Hit: (2.52, 3.00, -11.68), Time: 0.0100s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (4.00, 1.00, -11.00), Reflection: 1, Hit: (3.59, 1.60, -10.05), Time: 0.0170s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (4.00, 1.00, -11.00), Reflection: 0, Hit: (1.29, 3.00, -16.15), Time: 0.0086s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (4.00, 1.00, -11.00), Reflection: 1, Hit: (1.29, 3.00, -16.15), Time: 0.0086s, Energy: 0.64
Source: (1.00, 1.00, -14.00), Receiver: (4.00, 1.00, -11.00), Reflection: 2, Hit: (3.05, 2.86, -10.05), Time: 0.0271s, Energy: 0.10
Source: (1.00, 1.00, -14.00), Receiver: (4.00, 1.00, -11.00), Reflection: 0, Hit: (0.30, 0.00, -13.40), Time: 0.0040s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, 0.00), Reflection: 0, Hit: (2.87, 3.00, -17.58), Time: 0.0131s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, 0.00), Reflection: 1, Hit: (2.87, 3.00, -17.58), Time: 0.0131s, Energy: 0.64
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, 0.00), Reflection: 2, Hit: (4.95, 1.50, -19.33), Time: 0.0222s, Energy: 0.10
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, 0.00), Reflection: 0, Hit: (3.37, 3.00, -11.88), Time: 0.0110s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, 0.00), Reflection: 0, Hit: (0.91, 0.00, -15.18), Time: 0.0045s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, 0.00), Reflection: 1, Hit: (0.15, 3.00, -16.86), Time: 0.0148s, Energy: 0.16
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, 0.00), Reflection: 2, Hit: (1.19, 1.88, -19.95), Time: 0.0248s, Energy: 0.02
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, 0.00), Reflection: 0, Hit: (-4.95, 2.19, -14.81), Time: 0.0178s, Energy: 0.15
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, 0.00), Reflection: 1, Hit: (-4.08, 0.00, -16.15), Time: 0.0257s, Energy: 0.03
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, 0.00), Reflection: 0, Hit: (0.13, 3.00, -14.45), Time: 0.0065s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, 0.00), Reflection: 1, Hit: (-4.95, 1.37, -12.43), Time: 0.0231s, Energy: 0.12
